Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5
P1,29/11/2020,20:00,Sp Braga,Farense,1,0,H,0,0,D,16,6,7,0,19,17,7,3,3,3,0,0,1.75,2.04
P1,29/11/2020,17:30,Boavista,Belenenses,0,0,D,0,0,D,15,14,6,4,6,11,4,7,1,4,0,0,2.32,1.58
P1,29/11/2020,15:00,Gil Vicente,Rio Ave,2,0,H,1,0,H,4,12,2,3,19,10,2,8,1,1,0,0,2.29,1.6
P1,29/11/2020,15:00,Portimonense,Nacional,1,0,H,0,0,D,14,12,4,1,17,10,7,3,3,2,0,1,1.98,1.81
P1,30/11/2020,19:00,Maritimo,Benfica,1,2,A,1,1,D,5,12,2,2,21,9,1,12,0,1,0,0,1.65,2.2
P1,01/12/2020,21:45,Moreirense,Pacos Ferreira,0,1,A,0,1,A,10,12,2,4,18,26,2,2,1,0,0,0,2.22,1.65
P1,05/12/2020,15:30,Moreirense,Gil Vicente,1,1,D,0,0,D,4,6,2,2,17,18,1,2,3,2,0,0,2.3,1.6
P1,05/12/2020,18:00,Famalicao,Sp Lisbon,2,2,D,1,2,A,5,15,2,6,20,21,3,4,6,5,0,1,1.64,2.22
P1,05/12/2020,20:30,Porto,Tondela,4,3,H,2,2,D,16,8,9,4,16,12,5,2,3,5,1,0,1.5,2.53
P1,05/12/2020,15:30,Guimaraes,Portimonense,1,0,H,1,0,H,10,7,3,1,20,17,5,3,6,4,0,0,2.32,1.59
P1,06/12/2020,20:00,Benfica,Pacos Ferreira,2,1,H,0,1,A,13,16,4,5,21,19,6,4,1,3,0,0,1.57,2.34
P1,06/12/2020,20:00,Belenenses,Sp Braga,2,1,H,2,0,H,11,16,5,6,11,15,5,9,2,1,0,1,1.88,1.9
P1,06/12/2020,15:00,Nacional,Santa Clara,1,3,A,1,2,A,15,13,4,8,13,9,7,12,3,2,0,0,2.23,1.63
P1,06/12/2020,17:30,Rio Ave,Boavista,0,0,D,0,0,D,7,6,3,2,14,15,7,0,2,0,0,0,1.99,1.83
P1,07/12/2020,20:15,Farense,Maritimo,2,1,H,1,0,H,4,10,4,4,17,16,1,4,4,5,0,1,1.96,1.82
P1,18/12/2020,20:30,Portimonense,Famalicao,0,0,D,0,0,D,19,8,6,4,23,17,4,1,3,3,0,0,2.18,1.68
P1,19/12/2020,20:30,Sp Lisbon,Farense,1,0,H,0,0,D,18,8,3,3,20,24,7,2,4,6,0,1,1.58,2.32
P1,19/12/2020,18:00,Tondela,Moreirense,0,0,D,0,0,D,6,10,1,2,17,11,1,6,4,3,1,0,2.41,1.54
P1,19/12/2020,15:00,Maritimo,Belenenses,1,0,H,0,0,D,10,7,2,2,15,19,4,2,3,6,0,2,2.36,1.57
P1,20/12/2020,20:00,Porto,Nacional,2,0,H,2,0,H,14,4,5,2,14,18,8,1,0,2,0,0,1.52,2.45
P1,20/12/2020,15:00,Pacos Ferreira,Boavista,1,1,D,0,0,D,7,8,3,4,13,13,5,3,1,3,0,0,2.21,1.65
P1,20/12/2020,17:30,Gil Vicente,Benfica,0,2,A,0,0,D,14,11,5,6,10,8,4,3,3,2,1,0,1.59,2.3
P1,21/12/2020,20:15,Santa Clara,Guimaraes,0,4,A,0,3,A,11,7,2,5,18,13,7,3,1,0,0,0,2.19,1.65
P1,22/12/2020,20:15,Sp Braga,Rio Ave,3,0,H,1,0,H,10,8,5,2,24,12,3,4,1,0,0,0,1.91,1.88
P1,27/12/2020,17:30,Farense,Pacos Ferreira,1,1,D,0,0,D,6,13,1,3,24,25,5,3,3,6,0,0,2.28,1.61
P1,27/12/2020,20:00,Belenenses,Sp Lisbon,1,2,A,1,2,A,10,6,7,4,27,16,5,3,4,3,1,0,1.82,1.97
P1,27/12/2020,15:00,Famalicao,Gil Vicente,0,1,A,0,1,A,7,8,1,3,13,9,4,6,1,1,0,0,2.19,1.66
P1,27/12/2020,15:00,Nacional,Tondela,2,0,H,1,0,H,10,13,4,2,16,18,2,6,1,6,0,2,2.15,1.68
P1,28/12/2020,21:00,Boavista,Sp Braga,1,4,A,0,3,A,13,11,5,7,18,15,8,6,1,1,0,0,1.86,1.92
P1,28/12/2020,18:45,Rio Ave,Maritimo,1,3,A,1,0,H,10,13,5,6,19,14,4,5,3,2,0,0,2.27,1.62
P1,29/12/2020,18:00,Benfica,Portimonense,2,1,H,2,0,H,15,13,6,2,18,12,3,2,3,4,0,0,1.53,2.44
P1,29/12/2020,18:45,Moreirense,Santa Clara,1,0,H,0,0,D,12,8,2,1,15,24,2,0,1,5,0,0,2.2,1.66
P1,29/12/2020,21:00,Guimaraes,Porto,2,3,A,1,1,D,4,17,2,7,15,10,0,3,2,1,0,0,1.79,1.99
P1,02/01/2021,18:00,Sp Lisbon,Sp Braga,2,0,H,0,0,D,6,12,4,3,17,17,5,4,3,4,0,0,1.7,2.14
P1,03/01/2021,19:00,Pacos Ferreira,Rio Ave,2,0,H,1,0,H,15,12,4,2,14,9,3,4,0,0,0,0,2.41,1.54
P1,03/01/2021,21:00,Porto,Moreirense,3,0,H,1,0,H,20,3,7,2,15,14,6,1,2,0,0,0,1.57,2.34
P1,03/01/2021,13:00,Tondela,Famalicao,1,0,H,0,0,D,9,17,3,7,15,13,4,5,4,5,0,0,2.23,1.64
P1,03/01/2021,15:00,Maritimo,Boavista,0,0,D,0,0,D,9,10,4,3,16,21,2,3,3,4,0,0,2.27,1.62
P1,04/01/2021,17:00,Santa Clara,Benfica,1,1,D,0,1,A,12,7,4,2,15,14,3,10,3,1,0,0,1.7,2.12
P1,04/01/2021,19:00,Gil Vicente,Belenenses,0,0,D,0,0,D,13,7,5,1,10,19,8,3,2,1,0,0,2.52,1.5
P1,04/01/2021,21:15,Portimonense,Farense,2,0,H,0,0,D,13,6,5,0,21,11,5,1,3,2,0,0,2.22,1.65
P1,07/01/2021,21:00,Sp Braga,Maritimo,2,1,H,1,0,H,18,9,3,2,18,9,4,1,3,4,0,0,1.61,2.27
P1,08/01/2021,21:00,Famalicao,Porto,1,4,A,1,2,A,8,9,3,5,21,9,3,3,5,1,0,0,1.72,2.12
P1,08/01/2021,19:00,Benfica,Tondela,2,0,H,0,0,D,21,3,5,2,19,11,11,0,2,0,0,0,1.28,3.6
P1,08/01/2021,18:00,Nacional,Sp Lisbon,0,2,A,0,1,A,6,24,1,5,10,10,1,10,3,1,0,0,1.76,2.07
P1,08/01/2021,19:00,Rio Ave,Portimonense,3,0,H,0,0,D,16,13,7,3,10,22,4,4,0,3,0,0,2.54,1.5
P1,09/01/2021,20:30,Boavista,Santa Clara,1,1,D,1,1,D,13,7,5,2,18,27,3,4,3,4,0,0,2.43,1.55
P1,09/01/2021,17:00,Moreirense,Guimaraes,2,2,D,1,1,D,7,9,6,3,19,12,2,3,2,3,0,0,2.39,1.57
P1,10/01/2021,20:00,Belenenses,Pacos Ferreira,0,2,A,0,1,A,14,9,6,5,20,11,8,4,2,2,0,0,2.61,1.48
P1,10/01/2021,15:00,Farense,Gil Vicente,3,1,H,2,1,H,10,7,4,3,15,18,7,6,1,2,1,0,2.39,1.56
P1,15/01/2021,18:30,Sp Lisbon,Rio Ave,1,1,D,1,0,H,14,6,4,1,18,17,5,2,3,6,0,0,1.97,1.84
P1,15/01/2021,21:00,Porto,Benfica,1,1,D,1,1,D,9,12,4,4,17,26,1,3,4,4,1,0,1.8,2.01
P1,16/01/2021,15:30,Pacos Ferreira,Sp Braga,2,0,H,0,0,D,8,12,4,4,14,20,2,4,1,2,0,0,1.82,1.97
P1,16/01/2021,20:30,Tondela,Boavista,3,1,H,1,0,H,18,8,7,2,16,7,7,5,1,0,0,2,2.2,1.66
P1,17/01/2021,15:00,Nacional,Moreirense,0,1,A,0,0,D,18,15,3,4,11,19,5,6,4,5,0,0,2.33,1.59
P1,17/01/2021,17:30,Santa Clara,Famalicao,1,2,A,0,0,D,11,9,2,4,16,23,1,4,5,4,0,0,2.35,1.58
P1,17/01/2021,20:00,Gil Vicente,Maritimo,0,1,A,0,0,D,14,16,3,1,19,16,3,4,1,5,0,0,2.38,1.57
P1,18/01/2021,20:15,Portimonense,Belenenses,1,0,H,1,0,H,15,7,7,2,19,15,7,2,3,3,0,1,2.5,1.51
