Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-11-02,Nottingham Forest,Sheffield Utd,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-02,Coventry,Swansea,1,2,A,1,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-02,Peterborough,Huddersfield,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-02,Luton,Middlesbrough,3,1,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-03,West Brom,Hull City,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-03,Blackpool,Stoke City,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-03,Barnsley,Derby,2,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-03,Bournemouth,Preston,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-03,Cardiff,QPR,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-03,Blackburn,Fulham,0,7,A,0,2,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,Barnsley,Hull City,0,2,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,Blackpool,QPR,1,1,D,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,Luton,Stoke City,0,1,A,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,Peterborough,Fulham,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,Coventry,Bristol City,3,2,H,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,Blackburn,Sheffield Utd,3,1,H,1,1,,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06,Bournemouth,Swansea,4,0,H,1,0,,0,0,0,0,0,0,0,0,0,0,0,0
