Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Avg>2.5,Avg<2.5
F1,2022-03-05,20:00,Nice,Paris SG,1,0,H,0,0,D,11,8,6,2,15,10,3,4,1,0,0,0,1.68,2.19
F1,2022-03-06,14:00,Rennes,Angers,2,0,H,1,0,H,15,7,4,2,11,7,7,7,1,1,0,0,1.79,2.05
F1,2022-03-06,14:00,Nantes,Montpellier,2,0,H,0,0,D,16,6,5,1,11,11,6,4,1,1,0,0,2.1,1.75
F1,2022-03-06,16:05,Lille,Clermont,4,0,H,1,0,H,15,9,8,1,15,9,3,2,1,3,0,1,2.02,1.8
F1,2022-03-06,12:00,St Etienne,Metz,1,0,H,0,0,D,13,5,5,2,11,18,12,3,3,4,0,0,2.14,1.72
F1,2022-03-06,14:00,Reims,Strasbourg,1,1,D,0,0,D,8,17,1,6,6,11,2,4,0,2,0,0,2.22,1.67
F1,2022-03-06,14:00,Bordeaux,Troyes,0,2,A,0,1,A,10,10,3,2,18,15,6,2,6,1,0,1,2.05,1.78
F1,2022-03-06,19:45,Marseille,Monaco,0,1,A,0,0,D,13,5,2,3,13,9,10,3,2,1,0,0,1.91,1.9
F1,2022-03-11,20:00,Lille,St Etienne,0,0,D,0,0,D,10,11,2,3,14,12,2,3,1,1,0,0,1.96,1.86
F1,2022-03-12,16:00,Montpellier,Nice,0,0,D,0,0,D,24,8,7,0,10,8,13,1,3,2,0,1,1.98,1.83
F1,2022-03-12,20:00,Troyes,Nantes,1,0,H,1,0,H,11,6,2,1,7,16,8,4,1,1,0,0,2.35,1.6
F1,2022-03-13,19:45,Brest,Marseille,1,4,A,0,1,A,8,13,2,7,11,14,1,3,1,4,0,0,1.87,1.94
F1,2022-03-13,14:00,Strasbourg,Monaco,1,0,H,1,0,H,11,5,3,0,10,13,6,7,1,2,0,0,2.06,1.77
F1,2022-03-13,14:00,Metz,Lens,0,0,D,0,0,D,6,11,3,0,11,14,5,4,5,2,0,0,2.18,1.68
F1,2022-03-13,14:00,Angers,Reims,0,1,A,0,1,A,20,10,7,3,19,8,4,2,6,3,1,1,2.49,1.54
F1,2022-03-13,16:05,Lyon,Rennes,2,4,A,0,3,A,11,10,2,7,8,12,8,2,2,3,0,0,1.78,2.04
F1,2022-03-13,14:00,Clermont,Lorient,0,2,A,0,0,D,10,9,1,6,14,14,2,2,1,2,0,0,2.25,1.65
